action,level,members
Home Teleport,1,
Wind Strike,1,
Confuse,3,
Water Strike,5,
Lvl-1 Enchant,7,
Earth Strike,9,
Weaken,11,
Fire Strike,13,
Bones to Bananas,15,
Wind Bolt,17,
Curse,19,
Bind,20,
Low Level Alchemy,21,
Water Bolt,23,
Varrock Teleport,25,
Lvl-2 Enchant,27,
Earth Bolt,29,
Lumbridge Teleport,31,
Telekinetic Grab,33,
Fire Bolt,35,
Falador Teleport,37,
Crumble Undead,39,
Wind Blast,41,
Superheat Item,43,
Water Blast,47,
Lvl-3 Enchant,49,
Earth Blast,53,
High Level Alchemy,55,
Lvl-4 Enchant,57,
Fire Blast,59,
Tele Block,85,
